final_date,tr_streams,tr_rank,yt_views,google_search_interest,spotify_z,youtube_z,trends_z
2023-10-01,2386820.0,78.0,3600000,31,-0.04171792960596634,0.7708880256146047,0.9696703979188239
2023-11-01,0.0,0.0,2800000,26,-0.5498452555826044,0.4226174676969074,0.6924874837850516
2023-12-01,0.0,0.0,2900000,26,-0.5498452555826044,0.46615128743661954,0.6924874837850516
2024-01-01,0.0,0.0,2500000,19,-0.5498452555826044,0.2920160084777709,0.3044314039977703
2024-02-01,0.0,0.0,2100000,19,-0.5498452555826044,0.1178807295189223,0.3044314039977703
2024-03-01,0.0,0.0,2100000,15,-0.5498452555826044,0.1178807295189223,0.08268507269075241
2024-04-01,0.0,0.0,1860000,15,-0.5498452555826044,0.013399562143613127,0.08268507269075241
2024-05-01,1178804.0,40.0,2500000,22,-0.29889104689884743,0.2920160084777709,0.4707411524780337
2024-06-01,0.0,0.0,1740000,15,-0.5498452555826044,-0.03884102154404146,0.08268507269075241
2024-07-01,0.0,0.0,1470000,10,-0.5498452555826044,-0.1563823348412643,-0.19449784144301996
2024-08-01,0.0,0.0,1260000,8,-0.5498452555826044,-0.2478033562946598,-0.3053710070965289
2024-09-01,0.0,0.0,1120000,8,-0.5498452555826044,-0.30875070393025683,-0.3053710070965289
2024-10-01,0.0,0.0,1220000,8,-0.5498452555826044,-0.2652168841905447,-0.3053710070965289
2024-11-01,0.0,0.0,1390000,10,-0.5498452555826044,-0.191209390633034,-0.19449784144301996
2024-12-01,0.0,0.0,1200000,8,-0.5498452555826044,-0.2739236481384871,-0.3053710070965289
2025-01-01,0.0,0.0,970000,6,-0.5498452555826044,-0.37405143353982506,-0.41624417275003783
2025-02-01,0.0,0.0,790000,6,-0.5498452555826044,-0.4524123090713069,-0.41624417275003783
2025-03-01,0.0,0.0,830000,5,-0.5498452555826044,-0.43499878117542207,-0.4716807555767923
2025-04-01,0.0,0.0,840000,5,-0.5498452555826044,-0.43064539920145084,-0.4716807555767923
2025-05-01,681236.0,143.0,1050000,7,-0.4048177180896133,-0.3392243777480553,-0.3608075899232834
2025-06-01,,,730000,5,,-0.4785326009151342,-0.4716807555767923
2025-07-01,,,610000,4,,-0.5307731846027888,-0.5271173384035468
2025-08-01,,,540000,5,,-0.5612468584205873,-0.4716807555767923
2025-09-01,,,470000,3,,-0.5917205322383858,-0.5825539212303013
2025-10-01,,,430000,3,,-0.6091340601342707,-0.5825539212303013
2025-11-01,,,390000,3,,-0.6265475880301555,-0.5825539212303013
2025-12-01,,,400000,3,,-0.6221942060561844,-0.5825539212303013
2026-01-01,,,470000,3,,-0.5917205322383858,-0.5825539212303013
