final_date,yt_views,sp_streams,trends_interest,spotify_z,youtube_z,trends_z
2017-04-01,450000.0,0.0,1.0,-0.21774130170462355,-0.41909971756140635,-0.15909224815443915
2017-05-01,500000.0,0.0,1.0,-0.21774130170462355,-0.4070361243696859,-0.15909224815443915
2017-06-01,440000.0,0.0,1.0,-0.21774130170462355,-0.4215124361997505,-0.15909224815443915
2017-07-01,570000.0,0.0,1.0,-0.21774130170462355,-0.39014709390127716,-0.15909224815443915
2017-08-01,440000.0,0.0,1.0,-0.21774130170462355,-0.4215124361997505,-0.15909224815443915
2017-09-01,520000.0,0.0,1.0,-0.21774130170462355,-0.4022106870929977,-0.15909224815443915
2017-10-01,530000.0,0.0,1.0,-0.21774130170462355,-0.39979796845465354,-0.15909224815443915
2017-11-01,460000.0,0.0,1.0,-0.21774130170462355,-0.41668699892306227,-0.15909224815443915
2017-12-01,330000.0,0.0,1.0,-0.21774130170462355,-0.44805234122153553,-0.15909224815443915
2018-01-01,330000.0,0.0,1.0,-0.21774130170462355,-0.44805234122153553,-0.15909224815443915
2018-02-01,300000.0,0.0,1.0,-0.21774130170462355,-0.45529049713656783,-0.15909224815443915
2018-03-01,370000.0,0.0,1.0,-0.21774130170462355,-0.43840146666815916,-0.15909224815443915
2018-04-01,330000.0,0.0,1.0,-0.21774130170462355,-0.44805234122153553,-0.15909224815443915
2018-05-01,340000.0,0.0,1.0,-0.21774130170462355,-0.44563962258319145,-0.15909224815443915
2018-06-01,350000.0,0.0,1.0,-0.21774130170462355,-0.4432269039448474,-0.15909224815443915
2018-07-01,370000.0,0.0,1.0,-0.21774130170462355,-0.43840146666815916,-0.15909224815443915
2018-08-01,390000.0,0.0,1.0,-0.21774130170462355,-0.43357602939147094,-0.15909224815443915
2018-09-01,400000.0,0.0,1.0,-0.21774130170462355,-0.43116331075312686,-0.15909224815443915
2018-10-01,390000.0,0.0,1.0,-0.21774130170462355,-0.43357602939147094,-0.15909224815443915
2018-11-01,430000.0,0.0,1.0,-0.21774130170462355,-0.42392515483809456,-0.15909224815443915
2018-12-01,440000.0,0.0,1.0,-0.21774130170462355,-0.4215124361997505,-0.15909224815443915
2019-01-01,480000.0,0.0,1.0,-0.21774130170462355,-0.41186156164637405,-0.15909224815443915
2019-02-01,450000.0,0.0,1.0,-0.21774130170462355,-0.41909971756140635,-0.15909224815443915
2019-03-01,500000.0,0.0,1.0,-0.21774130170462355,-0.4070361243696859,-0.15909224815443915
2019-04-01,400000.0,0.0,1.0,-0.21774130170462355,-0.43116331075312686,-0.15909224815443915
2019-05-01,420000.0,0.0,1.0,-0.21774130170462355,-0.42633787347643864,-0.15909224815443915
2019-06-01,440000.0,0.0,1.0,-0.21774130170462355,-0.4215124361997505,-0.15909224815443915
